,Unnamed: 0,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,customer_lifetime_value,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,date,day,month,year,week
42,45.0,Oregon,No,Premium,Doctor,Others,F,Rural,Married,Personal,Offer1,Branch,SUV,Medsize,3939.00637,2011-01-28,60021.0,99.0,12.0,28.0,0.0,1.0,882.871945,2011-01-28,28,1,2011,4
43,46.0,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer3,Call Center,Four-Door Car,Medsize,12231.87968,2011-02-08,43244.0,103.0,15.0,16.0,0.0,2.0,494.4,2011-02-08,8,2,2011,6
44,47.0,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer4,Agent,Two-Door Car,Medsize,2443.665166,2011-02-23,92834.0,61.0,15.0,56.0,0.0,1.0,292.8,2011-02-23,23,2,2011,8
45,48.0,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate,Offer2,Call Center,Four-Door Car,Medsize,12819.10289,2011-01-25,10105.0,172.0,5.0,4.0,3.0,3.0,0.517753,2011-01-25,25,1,2011,4
46,49.0,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,4468.510542,2011-01-31,0.0,73.0,7.0,57.0,3.0,5.0,579.165954,2011-01-31,31,1,2011,5
47,52.0,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special,Offer4,Branch,Four-Door Car,Medsize,5514.344018,2011-01-02,23218.0,71.0,7.0,10.0,0.0,4.0,447.79344,2011-01-02,2,1,2011,52
48,53.0,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Offer4,Agent,Four-Door Car,Medsize,3343.875326,2011-02-07,0.0,92.0,11.0,77.0,0.0,1.0,529.624084,2011-02-07,7,2,2011,6
49,54.0,California,No,Premium,Bachelor,Others,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Small,2294.478927,2011-01-18,0.0,62.0,11.0,56.0,0.0,1.0,313.023175,2011-01-18,18,1,2011,3
50,55.0,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate,Offer3,Call Center,Four-Door Car,Small,,,,,,,,,,,0,0,0,0
51,56.0,California,No,Basic,College,Employed,M,Urban,Married,Special,Offer2,Branch,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
52,57.0,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer1,Call Center,SUV,Small,7983.431709,2011-02-21,36014.0,69.0,4.0,40.0,3.0,2.0,173.956072,2011-02-21,21,2,2011,8
53,58.0,Oregon,No,Extended,High School or Below,Others,F,Suburban,Divorced,Personal,Offer1,Call Center,SUV,Medsize,4854.745666,2011-02-16,29834.0,64.0,19.0,44.0,0.0,3.0,307.2,2011-02-16,16,2,2011,7
54,59.0,Oregon,No,Premium,Master,Others,F,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,4293.997319,2011-01-17,16701.0,113.0,20.0,26.0,0.0,1.0,831.625979,2011-01-17,17,1,2011,3
55,60.0,Arizona,Yes,Basic,Bachelor,Others,M,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,7164.395543,2011-02-05,46623.0,91.0,1.0,53.0,0.0,3.0,436.8,2011-02-05,5,2,2011,5
56,61.0,California,No,Premium,Bachelor,Others,F,Suburban,Married,Personal,Offer1,Call Center,Two-Door Car,Small,7619.5158,2011-02-13,64749.0,64.0,24.0,59.0,0.0,2.0,302.56519,2011-02-13,13,2,2011,6
57,62.0,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Two-Door Car,Small,3958.002823,2011-02-23,0.0,101.0,29.0,12.0,0.0,1.0,484.8,2011-02-23,23,2,2011,8
58,64.0,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer3,Branch,Four-Door Car,Large,4499.493252,2011-01-28,16969.0,124.0,34.0,47.0,2.0,1.0,704.768111,2011-01-28,28,1,2011,4
59,65.0,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,4059.567414,2011-02-28,11621.0,108.0,4.0,98.0,0.0,1.0,518.4,2011-02-28,28,2,2011,9
60,66.0,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate,Offer1,Agent,SUV,Medsize,4458.113369,2011-01-02,17622.0,65.0,1.0,36.0,1.0,3.0,312.0,2011-01-02,2,1,2011,52
61,67.0,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal,Offer4,Branch,Two-Door Car,Small,8110.333139,2011-01-22,11489.0,105.0,4.0,50.0,0.0,6.0,504.0,2011-01-22,22,1,2011,3
62,68.0,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal,Offer1,Call Center,Two-Door Car,Large,3339.764873,2011-01-15,0.0,94.0,20.0,53.0,0.0,1.0,863.327324,2011-01-15,15,1,2011,2
63,69.0,California,No,Premium,College,Others,F,Suburban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
64,71.0,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal,Offer2,Web,Two-Door Car,Large,6613.973653,2011-01-23,0.0,63.0,21.0,28.0,0.0,2.0,676.391482,2011-01-23,23,1,2011,3
65,72.0,Oregon,No,Basic,Master,Others,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2930.693543,2011-01-31,33663.0,73.0,29.0,71.0,0.0,1.0,350.4,2011-01-31,31,1,2011,5
66,73.0,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Sports Car,Medsize,8672.194272,2011-01-26,22547.0,112.0,7.0,60.0,0.0,3.0,537.6,2011-01-26,26,1,2011,4
67,74.0,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Offer2,Branch,Two-Door Car,Medsize,11638.66926,2011-01-10,61486.0,97.0,5.0,65.0,0.0,2.0,465.258644,2011-01-10,10,1,2011,2
68,75.0,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Small,6846.150323,2011-01-27,0.0,95.0,13.0,20.0,0.0,5.0,456.0,2011-01-27,27,1,2011,4
69,76.0,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal,Offer2,Call Center,Four-Door Car,Medsize,11727.77648,2011-01-09,29879.0,102.0,17.0,0.0,0.0,2.0,500.254235,2011-01-09,9,1,2011,1
70,77.0,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
71,78.0,Washington,No,Extended,College,Employed,M,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2614.474305,2011-02-11,65186.0,65.0,29.0,27.0,0.0,1.0,5.434505,2011-02-11,11,2,2011,6
72,80.0,California,No,Extended,College,Unemployed,F,Rural,Single,Personal,Offer3,Branch,Two-Door Car,Large,2451.752695,2011-02-12,26840.0,64.0,1.0,47.0,2.0,1.0,307.2,2011-02-12,12,2,2011,6
73,81.0,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer2,Call Center,Four-Door Car,Medsize,6781.270203,2011-02-04,0.0,104.0,30.0,3.0,1.0,5.0,982.399613,2011-02-04,4,2,2011,5
74,82.0,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal,Offer3,Branch,SUV,Medsize,4974.801539,2011-01-18,75644.0,65.0,5.0,68.0,3.0,9.0,467.803638,2011-01-18,18,1,2011,3
75,83.0,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Large,8591.604933,2011-02-11,38984.0,73.0,27.0,38.0,0.0,2.0,350.4,2011-02-11,11,2,2011,6
76,84.0,Oregon,No,Extended,College,Others,F,Suburban,Single,Personal,Offer2,Agent,Four-Door Car,Small,5592.161392,2011-02-01,71811.0,71.0,17.0,48.0,0.0,6.0,29.03416,2011-02-01,1,2,2011,5
77,85.0,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,8009.472833,2011-02-15,20961.0,67.0,20.0,33.0,0.0,2.0,321.6,2011-02-15,15,2,2011,7
78,86.0,California,Yes,Extended,College,Others,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,11318.08982,2011-02-06,38923.0,99.0,6.0,83.0,2.0,2.0,115.728852,2011-02-06,6,2,2011,5
79,87.0,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate,Offer3,Web,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
80,88.0,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Offer3,Branch,Four-Door Car,Medsize,8025.229358,2011-01-26,0.0,77.0,20.0,26.0,0.0,2.0,25.807685,2011-01-26,26,1,2011,4
81,89.0,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,5780.182197,2011-02-26,51066.0,74.0,23.0,0.0,0.0,8.0,787.993313,2011-02-26,26,2,2011,8
82,90.0,Oregon,No,Premium,College,Others,M,Suburban,Married,Personal,Offer2,Branch,Two-Door Car,Small,4118.539113,2011-01-27,34378.0,102.0,12.0,54.0,0.0,1.0,489.6,2011-01-27,27,1,2011,4
83,91.0,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate,Offer2,Call Center,Two-Door Car,Medsize,2523.07015,2011-01-16,43072.0,63.0,35.0,15.0,0.0,1.0,302.4,2011-01-16,16,1,2011,2
84,92.0,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,6554.216396,2011-01-27,25222.0,90.0,28.0,69.0,0.0,3.0,475.623251,2011-01-27,27,1,2011,4
85,93.0,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Offer1,Branch,Two-Door Car,Small,7703.397294,2011-02-28,36765.0,66.0,15.0,32.0,1.0,2.0,320.849072,2011-02-28,28,2,2011,9
86,94.0,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,5926.729379,2011-01-25,23091.0,96.0,28.0,90.0,5.0,5.0,460.8,2011-01-25,25,1,2011,4
87,96.0,Arizona,No,Basic,Master,Others,F,Rural,Married,Personal,Offer1,Branch,SUV,Medsize,2683.470677,2011-01-01,48269.0,69.0,3.0,79.0,3.0,1.0,282.151207,2011-01-01,1,1,2011,52
88,97.0,California,No,Basic,Bachelor,Others,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2695.182419,2011-02-01,32720.0,67.0,13.0,12.0,0.0,1.0,321.6,2011-02-01,1,2,2011,5
89,98.0,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,6047.02516,2011-02-19,20396.0,76.0,15.0,60.0,1.0,4.0,364.8,2011-02-19,19,2,2011,7
90,99.0,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal,Offer1,Agent,Two-Door Car,Small,13171.01282,2011-01-27,21513.0,119.0,21.0,81.0,1.0,2.0,679.827592,2011-01-27,27,1,2011,4
91,100.0,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,SUV,Medsize,10656.88195,2011-02-27,72540.0,88.0,7.0,3.0,0.0,2.0,631.743039,2011-02-27,27,2,2011,8
92,101.0,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,2527.653796,2011-01-17,80744.0,63.0,24.0,84.0,0.0,1.0,11.879037,2011-01-17,17,1,2011,3
93,102.0,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate,Offer3,Call Center,Two-Door Car,Medsize,2672.095756,2011-02-10,52822.0,67.0,23.0,88.0,0.0,1.0,350.529033,2011-02-10,10,2,2011,6
94,103.0,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,5313.294035,2011-01-24,0.0,77.0,8.0,10.0,1.0,9.0,863.3947,2011-01-24,24,1,2011,4
95,104.0,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Web,SUV,Medsize,,,,,,,,,,,0,0,0,0
96,105.0,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Call Center,Four-Door Car,Small,8375.353929,2011-02-15,17780.0,109.0,12.0,18.0,0.0,9.0,132.588288,2011-02-15,15,2,2011,7
97,106.0,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer3,Branch,Four-Door Car,Medsize,4801.661503,2011-02-16,18107.0,62.0,29.0,11.0,0.0,8.0,297.6,2011-02-16,16,2,2011,7
98,107.0,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Offer1,Agent,SUV,Medsize,5745.94334,2011-01-22,57740.0,74.0,30.0,87.0,3.0,9.0,269.905129,2011-01-22,22,1,2011,3
99,108.0,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,6066.115969,2011-02-25,32627.0,76.0,11.0,60.0,0.0,7.0,380.036697,2011-02-25,25,2,2011,8
100,109.0,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate,Offer4,Agent,Four-Door Car,Medsize,8002.308333,2011-01-11,0.0,107.0,3.0,65.0,0.0,3.0,513.6,2011-01-11,11,1,2011,2
101,110.0,California,No,Extended,College,Employed,M,Suburban,Married,Personal,Offer4,Agent,Four-Door Car,Small,2393.915369,2011-01-31,0.0,70.0,24.0,10.0,0.0,1.0,425.266308,2011-01-31,31,1,2011,5
102,111.0,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate,Offer2,Web,Four-Door Car,Small,4762.8179,2011-01-12,65795.0,62.0,2.0,85.0,1.0,3.0,49.011099,2011-01-12,12,1,2011,2
103,112.0,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Branch,SUV,Medsize,4330.38602,2011-02-16,60475.0,107.0,9.0,18.0,0.0,1.0,513.6,2011-02-16,16,2,2011,7
104,113.0,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,9402.729769,2011-02-09,0.0,130.0,28.0,88.0,0.0,4.0,936.0,2011-02-09,9,2,2011,6
105,115.0,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate,Offer1,Agent,SUV,Medsize,6966.694527,2011-01-19,41837.0,88.0,29.0,93.0,0.0,9.0,142.062768,2011-01-19,19,1,2011,3
106,116.0,Oregon,Yes,Extended,High School or Below,Others,M,Suburban,Divorced,Personal,Offer2,Agent,SUV,Medsize,7694.064293,2011-01-04,32303.0,65.0,13.0,34.0,0.0,2.0,45.152521,2011-01-04,4,1,2011,1
107,117.0,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Branch,Two-Door Car,Medsize,8717.561149,2011-01-09,0.0,117.0,5.0,89.0,1.0,3.0,561.6,2011-01-09,9,1,2011,1
108,118.0,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal,Offer3,Agent,Two-Door Car,Medsize,5928.748528,2011-01-27,40531.0,74.0,17.0,32.0,0.0,9.0,30.567357,2011-01-27,27,1,2011,4
109,119.0,California,No,Extended,College,Employed,F,Urban,Married,Corporate,Offer2,Call Center,Four-Door Car,Medsize,2452.977288,2011-02-14,79898.0,62.0,5.0,86.0,1.0,1.0,271.606799,2011-02-14,14,2,2011,7
110,120.0,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal,Offer3,Web,Two-Door Car,Medsize,6701.571657,2011-02-27,56398.0,85.0,4.0,18.0,0.0,7.0,408.0,2011-02-27,27,2,2011,8
111,121.0,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal,Offer1,Call Center,Sports Car,Medsize,7556.24034,2011-02-12,35257.0,98.0,16.0,2.0,1.0,8.0,470.4,2011-02-12,12,2,2011,6
112,122.0,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer3,Branch,Two-Door Car,Small,8492.6988,2011-02-26,27804.0,109.0,19.0,54.0,0.0,7.0,784.8,2011-02-26,26,2,2011,8
113,123.0,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer3,Web,Luxury SUV,Medsize,7713.494046,2011-02-20,45506.0,66.0,16.0,32.0,2.0,2.0,316.8,2011-02-20,20,2,2011,7
114,124.0,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
115,126.0,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal,Offer2,Branch,Four-Door Car,Medsize,7290.069769,2011-02-15,0.0,102.0,11.0,70.0,1.0,3.0,489.6,2011-02-15,15,2,2011,7
116,127.0,Arizona,No,Extended,College,Employed,M,Urban,Married,Special,Offer1,Branch,Four-Door Car,Medsize,4772.943848,2011-02-18,20993.0,133.0,35.0,90.0,0.0,1.0,638.4,2011-02-18,18,2,2011,7
117,128.0,Oregon,Yes,Basic,College,Others,M,Suburban,Divorced,Personal,Offer2,Web,Four-Door Car,Medsize,6806.491395,2011-01-21,37839.0,86.0,35.0,77.0,0.0,9.0,465.633954,2011-01-21,21,1,2011,3
118,129.0,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,2469.781334,2011-01-15,92711.0,62.0,24.0,10.0,0.0,1.0,368.400146,2011-01-15,15,1,2011,2
